Dex No.,Name,Forme,Classification,Generation,Primary Type,Secondary Type,Ability 1,Ability 2,Hidden Ability,Gender,Male Gender Ratio,Female Gender Ratio,Catch Rate,Egg Group 1,Egg Group 2,Hatch Time Cycles,Height (In),Height (M),Weight (Lbs),Weight (Kg),Mega Stone 1,Mega Stone 2,EXP Yield (Gen I),EXP Yield (Gen II),EXP Yield (Gen III),EXP Yield (Gen IV),EXP Yield (Gen V+),Leveling Rate,EV Yield (HP),EV Yield (Attack),EV Yield (Defense),EV Yield (Sp.Atk),EV Yield (Sp.Def),EV Yield (Speed),Shape Img URL,Footprint Img Url,Base Friendship,Base HP,Base Attack,Base Defense,Base Special Attack,Base Special Defense,Base Speed,Base Stat Total,Color
6,Charizard,Gigantamax Charizard,Flame,8,Fire,Flying,Blaze,,Solar Power,,0.875,0.125,45,Monster,Dragon,20,1102,28.0,199.5,90.5,,,209,209,209,209,240,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/05/F0006.png,70,|||||||78|78,|||||||84|84,|||||||78|78,|||||||109|109,|||||||85|85,|||||||100|100,|||||||534|534,Red
7,Squirtle,,Tiny Turtle,1,Water,,Torrent,,Rain Dish,,0.875,0.125,45,Monster,Water 1,20,20,0.5,19.8,9.0,,,66,66,66,66,63,Medium Slow,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/87/F0007.png,70,44|44|44|44|44|44|44|44|44,48|48|48|48|48|48|48|48|48,65|65|65|65|65|65|65|65|65,50|50|50|50|50|50|50|50|50,64|64|64|64|64|64|64|64|64,43|43|43|43|43|43|43|43|43,314|314|314|314|314|314|314|314|314,Blue
8,Wartortle,,Turtle,1,Water,,Torrent,,Rain Dish,,0.875,0.125,45,Monster,Water 1,20,39,1.0,49.6,22.5,,,143,143,143,143,142,Medium Slow,0,0,1,0,1,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/81/F0008.png,70,59|59|59|59|59|59|59|59|59,63|63|63|63|63|63|63|63|63,80|80|80|80|80|80|80|80|80,65|65|65|65|65|65|65|65|65,80|80|80|80|80|80|80|80|80,58|58|58|58|58|58|58|58|58,405|405|405|405|405|405|405|405|405,Blue
9,Blastoise,,Shellfish,1,Water,,Torrent,,Rain Dish,,0.875,0.125,45,Monster,Water 1,20,63,1.6,188.5,85.5,Blastoisinite,,210,210,210,210,239,Medium Slow,0,0,0,0,3,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/8e/F0009.png,70,79|79|79|79|79|79|79|79|79,83|83|83|83|83|83|83|83|83,100|100|100|100|100|100|100|100|100,85|85|85|85|85|85|85|85|85,105|105|105|105|105|105|105|105|105,78|78|78|78|78|78|78|78|78,530|530|530|530|530|530|530|530|530,Blue
9,Blastoise,Mega Blastoise,Shellfish,6,Water,,Mega Launcher,,,,0.875,0.125,45,Monster,Water 1,20,63,1.6,222.9,101.1,Blastoisinite,,210,210,210,210,239,Medium Slow,0,0,0,0,3,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/8e/F0009.png,70,|||||79|79|79|79,|||||103|103|103|103,|||||120|120|120|120,|||||135|135|135|135,|||||115|115|115|115,|||||78|78|78|78,|||||630|630|630|630,Blue
9,Blastoise,Gigantamax Blastoise,Shellfish,8,Water,,Torrent,,Rain Dish,,0.875,0.125,45,Monster,Water 1,20,984,25.0,188.5,85.5,Blastoisinite,,210,210,210,210,239,Medium Slow,0,0,0,0,3,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/8e/F0009.png,70,|||||||79|79,|||||||83|83,|||||||100|100,|||||||85|85,|||||||105|105,|||||||78|78,|||||||530|530,Blue
10,Caterpie,,Worm,1,Bug,,Shield Dust,,Run Away,,0.5,0.5,255,Bug,,15,12,0.3,6.4,2.9,,,53,53,53,53,39,Medium Fast,1,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/7/77/F0010.png,70,45|45|45|45|45|45|45|45|45,30|30|30|30|30|30|30|30|30,35|35|35|35|35|35|35|35|35,20|20|20|20|20|20|20|20|20,20|20|20|20|20|20|20|20|20,45|45|45|45|45|45|45|45|45,195|195|195|195|195|195|195|195|195,Green
11,Metapod,,Cocoon,1,Bug,,Shed Skin,,,,0.5,0.5,120,Bug,,15,28,0.7,21.8,9.9,,,72,72,72,72,72,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/7/7a/Body02.png,https://archives.bulbagarden.net/media/upload/5/59/F0011.png,70,50|50|50|50|50|50|50|50|50,20|20|20|20|20|20|20|20|20,55|55|55|55|55|55|55|55|55,25|25|25|25|25|25|25|25|25,25|25|25|25|25|25|25|25|25,30|30|30|30|30|30|30|30|30,205|205|205|205|205|205|205|205|205,Green
12,Butterfree,,Butterfly,1,Bug,Flying,Compound Eyes,,Tinted Lens,,0.5,0.5,45,Bug,,15,43,1.1,70.5,32.0,,,160,160,160,160,178,Medium Fast,0,0,0,2,1,0,https://archives.bulbagarden.net/media/upload/0/09/Body13.png,https://archives.bulbagarden.net/media/upload/a/ac/F0012.png,70,60|60|60|60|60|60|60|60|60,45|45|45|45|45|45|45|45|45,50|50|50|50|50|50|50|50|50,80|80|80|80|80|90|90|90|90,80|80|80|80|80|80|80|80|80,70|70|70|70|70|70|70|70|70,385|385|385|385|385|395|395|395|395,White
12,Butterfree,Gigantamax Butterfree,Butterfly,8,Bug,Flying,Compound Eyes,,Tinted Lens,,0.5,0.5,45,Bug,,15,669,17.0,70.5,32.0,,,160,160,160,160,178,Medium Fast,0,0,0,2,1,0,https://archives.bulbagarden.net/media/upload/0/09/Body13.png,https://archives.bulbagarden.net/media/upload/a/ac/F0012.png,70,|||||||60|60,|||||||45|45,|||||||50|50,|||||||90|90,|||||||80|80,|||||||70|70,|||||||395|395,White
13,Weedle,,Hairy Bug,1,Bug,Poison,Shield Dust,,Run Away,,0.5,0.5,255,Bug,,15,12,0.3,7.1,3.2,,,52,52,52,52,39,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/0/00/F0013.png,70,40|40|40|40|40|40|40|40|40,35|35|35|35|35|35|35|35|35,30|30|30|30|30|30|30|30|30,20|20|20|20|20|20|20|20|20,20|20|20|20|20|20|20|20|20,50|50|50|50|50|50|50|50|50,195|195|195|195|195|195|195|195|195,Brown
14,Kakuna,,Cocoon,1,Bug,Poison,Shed Skin,,,,0.5,0.5,120,Bug,,15,24,0.6,22.0,10.0,,,71,71,71,71,72,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/7/7a/Body02.png,https://archives.bulbagarden.net/media/upload/3/38/F0014.png,70,45|45|45|45|45|45|45|45|45,25|25|25|25|25|25|25|25|25,50|50|50|50|50|50|50|50|50,25|25|25|25|25|25|25|25|25,25|25|25|25|25|25|25|25|25,35|35|35|35|35|35|35|35|35,205|205|205|205|205|205|205|205|205,Yellow
15,Beedrill,,Poison Bee,1,Bug,Poison,Swarm,,Sniper,,0.5,0.5,45,Bug,,15,39,1.0,65.0,29.5,Beedrillite,,159,159,159,159,178,Medium Fast,0,2,0,0,1,0,https://archives.bulbagarden.net/media/upload/0/09/Body13.png,https://archives.bulbagarden.net/media/upload/c/cc/F0015.png,70,65|65|65|65|65|65|65|65|65,80|80|80|80|80|90|90|90|90,40|40|40|40|40|40|40|40|40,45|45|45|45|45|45|45|45|45,80|80|80|80|80|80|80|80|80,75|75|75|75|75|75|75|75|75,385|385|385|385|385|395|395|395|395,Yellow
15,Beedrill,Mega Beedrill,Poison Bee,6,Bug,Poison,Adaptability,,,,0.5,0.5,45,Bug,,15,55,1.4,89.3,40.5,Beedrillite,,159,159,159,159,178,Medium Fast,0,2,0,0,1,0,https://archives.bulbagarden.net/media/upload/0/09/Body13.png,https://archives.bulbagarden.net/media/upload/c/cc/F0015.png,70,|||||65|65|65|65,|||||150|150|150|150,|||||40|40|40|40,|||||15|15|15|15,|||||80|80|80|80,|||||145|145|145|145,|||||495|495|495|495,Yellow
16,Pidgey,,Tiny Bird,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,0.5,0.5,255,Flying,,15,12,0.3,4.0,1.8,,,55,55,55,55,50,Medium Slow,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/a/ab/F0016.png,70,40|40|40|40|40|40|40|40|40,45|45|45|45|45|45|45|45|45,40|40|40|40|40|40|40|40|40,35|35|35|35|35|35|35|35|35,35|35|35|35|35|35|35|35|35,56|56|56|56|56|56|56|56|56,251|251|251|251|251|251|251|251|251,Brown
17,Pidgeotto,,Bird,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,0.5,0.5,120,Flying,,15,43,1.1,66.1,30.0,,,113,113,113,113,122,Medium Slow,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/d/dc/F0017.png,70,63|63|63|63|63|63|63|63|63,60|60|60|60|60|60|60|60|60,55|55|55|55|55|55|55|55|55,50|50|50|50|50|50|50|50|50,50|50|50|50|50|50|50|50|50,71|71|71|71|71|71|71|71|71,349|349|349|349|349|349|349|349|349,Brown
18,Pidgeot,,Bird,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,0.5,0.5,45,Flying,,15,59,1.5,87.1,39.5,Pidgeotite,,172,172,172,172,216,Medium Slow,0,0,0,0,0,3,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/b/b7/F0018.png,70,83|83|83|83|83|83|83|83|83,80|80|80|80|80|80|80|80|80,75|75|75|75|75|75|75|75|75,70|70|70|70|70|70|70|70|70,70|70|70|70|70|70|70|70|70,91|91|91|91|91|101|101|101|101,469|469|469|469|469|479|479|479|479,Brown
18,Pidgeot,Mega Pidgeot,Bird,6,Normal,Flying,No Guard,,,,0.5,0.5,45,Flying,,15,87,2.2,111.3,50.5,Pidgeotite,,172,172,172,172,216,Medium Slow,0,0,0,0,0,3,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/b/b7/F0018.png,70,|||||83|83|83|83,|||||80|80|80|80,|||||80|80|80|80,|||||135|135|135|135,|||||80|80|80|80,|||||121|121|121|121,|||||579|579|579|579,Brown
19,Rattata,,Mouse,1,Normal,,Run Away,Guts,Hustle,,0.5,0.5,255,Field,,15,12,0.3,7.7,3.5,,,57,57,57,57,51,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/6/64/F0019.png,70,30|30|30|30|30|30|30|30|30,56|56|56|56|56|56|56|56|56,35|35|35|35|35|35|35|35|35,25|25|25|25|25|25|25|25|25,35|35|35|35|35|35|35|35|35,72|72|72|72|72|72|72|72|72,253|253|253|253|253|253|253|253|253,Purple
19,Rattata,Alolan Rattata,Mouse,7,Dark,Normal,Gluttony,Hustle,Thick Fat,,0.5,0.5,255,Field,,15,12,0.3,8.4,3.8,,,57,57,57,57,51,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/6/64/F0019.png,70,||||||30|30|30,||||||56|56|56,||||||35|35|35,||||||25|25|25,||||||35|35|35,||||||72|72|72,||||||253|253|253,Black
20,Raticate,,Mouse,1,Normal,,Run Away,Guts,Hustle,,0.5,0.5,127,Field,,15,28,0.7,40.8,18.5,,,116,116,116,116,145,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/2/2a/F0020.png,70,55|55|55|55|55|55|55|55|55,81|81|81|81|81|81|81|81|81,60|60|60|60|60|60|60|60|60,50|50|50|50|50|50|50|50|50,70|70|70|70|70|70|70|70|70,97|97|97|97|97|97|97|97|97,413|413|413|413|413|413|413|413|413,Brown
20,Raticate,Alolan Raticate,Mouse,7,Dark,Normal,Gluttony,Hustle,Thick Fat,,0.5,0.5,127,Field,,15,28,0.7,56.2,25.5,,,116,116,116,116,145,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/2/2a/F0020.png,70,||||||75|75|75,||||||71|71|71,||||||70|70|70,||||||40|40|40,||||||80|80|80,||||||77|77|77,||||||413|413|413,Black
21,Spearow,,Tiny Bird,1,Normal,Flying,Keen Eye,,Sniper,,0.5,0.5,255,Flying,,15,12,0.3,4.4,2.0,,,58,58,58,58,52,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/4/4d/F0021.png,70,40|40|40|40|40|40|40|40|40,60|60|60|60|60|60|60|60|60,30|30|30|30|30|30|30|30|30,31|31|31|31|31|31|31|31|31,31|31|31|31|31|31|31|31|31,70|70|70|70|70|70|70|70|70,262|262|262|262|262|262|262|262|262,Brown
22,Fearow,,Beak,1,Normal,Flying,Keen Eye,,Sniper,,0.5,0.5,90,Flying,,15,47,1.2,83.8,38.0,,,162,162,162,162,155,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/8/8d/F0022.png,70,65|65|65|65|65|65|65|65|65,90|90|90|90|90|90|90|90|90,65|65|65|65|65|65|65|65|65,61|61|61|61|61|61|61|61|61,61|61|61|61|61|61|61|61|61,100|100|100|100|100|100|100|100|100,442|442|442|442|442|442|442|442|442,Brown
23,Ekans,,Snake,1,Poison,,Intimidate,Shed Skin,Unnerve,,0.5,0.5,255,Field,Dragon,20,79,2.0,15.2,6.9,,,62,62,62,62,58,Medium Fast,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/7/7a/Body02.png,https://archives.bulbagarden.net/media/upload/1/14/F0023.png,70,35|35|35|35|35|35|35|35|35,60|60|60|60|60|60|60|60|60,44|44|44|44|44|44|44|44|44,40|40|40|40|40|40|40|40|40,54|54|54|54|54|54|54|54|54,55|55|55|55|55|55|55|55|55,288|288|288|288|288|288|288|288|288,Purple
24,Arbok,,Cobra,1,Poison,,Intimidate,Shed Skin,Unnerve,,0.5,0.5,90,Field,Dragon,20,138,3.5,143.3,65.0,,,147,147,147,147,157,Medium Fast,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/7/7a/Body02.png,https://archives.bulbagarden.net/media/upload/a/a8/F0024.png,70,60|60|60|60|60|60|60|60|60,85|85|85|85|85|85|95|95|95,69|69|69|69|69|69|69|69|69,65|65|65|65|65|65|65|65|65,79|79|79|79|79|79|79|79|79,80|80|80|80|80|80|80|80|80,438|438|438|438|438|438|448|448|448,Purple
25,Pikachu,,Mouse,1,Electric,,Static,,Lightning Rod,,0.5,0.5,190,Field,Fairy,10,16,0.4,13.2,6.0,,,82,82,82,82,112,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/c/c4/F0025.png,70,35|35|35|35|35|35|35|35|35,55|55|55|55|55|55|55|55|55,30|30|30|30|30|40|40|40|40,50|50|50|50|50|50|50|50|50,40|40|40|40|40|50|50|50|50,90|90|90|90|90|90|90|90|90,300|300|300|300|300|320|320|320|320,Yellow
25,Pikachu,Cosplay Pikachu,Mouse,1,Electric,,Static,,Lightning Rod,,0.5,0.5,190,,,10,16,0.4,13.2,6.0,,,82,82,82,82,112,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/c/c4/F0025.png,70,35|35|35|35|35|35|35|35|35,55|55|55|55|55|55|55|55|55,30|30|30|30|30|40|40|40|40,50|50|50|50|50|50|50|50|50,40|40|40|40|40|50|50|50|50,90|90|90|90|90|90|90|90|90,300|300|300|300|300|320|320|320|320,Yellow
25,Pikachu,Pikachu in a cap,Mouse,1,Electric,,Static,,Lightning Rod,,0.5,0.5,190,,,10,16,0.4,13.2,6.0,,,82,82,82,82,112,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/c/c4/F0025.png,70,35|35|35|35|35|35|35|35|35,55|55|55|55|55|55|55|55|55,30|30|30|30|30|40|40|40|40,50|50|50|50|50|50|50|50|50,40|40|40|40|40|50|50|50|50,90|90|90|90|90|90|90|90|90,300|300|300|300|300|320|320|320|320,Yellow
25,Pikachu,Gigantamax Pikachu,Mouse,8,Electric,,Static,,Lightning Rod,,0.5,0.5,190,Field,Fairy,10,827,21.0,13.2,6.0,,,82,82,82,82,112,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/c/c4/F0025.png,70,|||||||35|35,|||||||55|55,|||||||40|40,|||||||50|50,|||||||50|50,|||||||90|90,|||||||320|320,Yellow
25,Pikachu,Partner Pikachu,Mouse,1,Electric,,Static,,Lightning Rod,,0.5,0.5,190,Field,Fairy,10,16,0.4,13.2,6.0,,,82,82,82,82,112,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/c/c4/F0025.png,70,45|45|45|45|45|45|45|45|45,80|80|80|80|80|80|80|80|80,50|50|50|50|50|50|50|50|50,75|75|75|75|75|75|75|75|75,60|60|60|60|60|60|60|60|60,120|120|120|120|120|120|120|120|120,430|430|430|430|430|430|430|430|430,Yellow
26,Raichu,,Mouse,1,Electric,,Static,,Lightning Rod,,0.5,0.5,75,Field,Fairy,10,31,0.8,66.1,30.0,,,122,122,122,122,218,Medium Fast,0,0,0,0,0,3,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/9/93/F0026.png,70,60|60|60|60|60|60|60|60|60,90|90|90|90|90|90|90|90|90,55|55|55|55|55|55|55|55|55,90|90|90|90|90|90|90|90|90,80|80|80|80|80|80|80|80|80,100|100|100|100|100|110|110|110|110,475|475|475|475|475|485|485|485|485,Yellow
26,Raichu,Alolan Raichu,Mouse,7,Electric,Psychic,Surge Surfer,,,,0.5,0.5,75,Field,Fairy,10,28,0.7,46.3,21.0,,,122,122,122,122,218,Medium Fast,0,0,0,0,0,3,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/9/93/F0026.png,70,||||||60|60|60,||||||85|85|85,||||||50|50|50,||||||95|95|95,||||||85|85|85,||||||110|110|110,||||||485|485|485,Brown
27,Sandshrew,,Mouse,1,Ground,,Sand Veil,,Sand Rush,,0.5,0.5,255,Field,,20,24,0.6,26.5,12.0,,,93,93,93,93,60,Medium Fast,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/9/99/F0027.png,70,50|50|50|50|50|50|50|50|50,75|75|75|75|75|75|75|75|75,85|85|85|85|85|85|85|85|85,20|20|20|20|20|20|20|20|20,30|30|30|30|30|30|30|30|30,40|40|40|40|40|40|40|40|40,300|300|300|300|300|300|300|300|300,Yellow
27,Sandshrew,Alolan Sandshrew,Mouse,7,Ice,Steel,Snow Cloak,,Slush Rush,,0.5,0.5,255,Field,,20,28,0.7,88.2,40.0,,,93,93,93,93,60,Medium Fast,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/9/99/F0027.png,70,||||||50|50|50,||||||75|75|75,||||||90|90|90,||||||10|10|10,||||||35|35|35,||||||40|40|40,||||||300|300|300,White
28,Sandslash,,Mouse,1,Ground,,Sand Veil,,Sand Rush,,0.5,0.5,90,Field,,20,39,1.0,65.0,29.5,,,163,163,163,163,158,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/9/97/F0028.png,70,75|75|75|75|75|75|75|75|75,100|100|100|100|100|100|100|100|100,110|110|110|110|110|110|110|110|110,45|45|45|45|45|45|45|45|45,55|55|55|55|55|55|55|55|55,65|65|65|65|65|65|65|65|65,450|450|450|450|450|450|450|450|450,Yellow
28,Sandslash,Alolan Sandslash,Mouse,7,Ice,Steel,Snow Cloak,,Slush Rush,,0.5,0.5,90,Field,,20,47,1.2,121.3,55.0,,,163,163,163,163,158,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/9/97/F0028.png,70,||||||75|75|75,||||||100|100|100,||||||120|120|120,||||||25|25|25,||||||65|65|65,||||||65|65|65,||||||450|450|450,Blue
